Id,TaskId,SegmentId,HandId,CameraId,ViewType,Definition
1,1,1,1,4,Ipsilateral,NULL
2,1,2,1,1,Contralteral,NULL
3,1,3,1,4,Ipsilateral,NULL
4,1,4,1,3,Transverse,NULL
5,1,1,2,1,Ipsilateral,NULL
6,1,2,2,4,Contralteral,NULL
7,1,3,2,1,Ipsilateral,NULL
8,1,4,2,3,Transverse,NULL
9,2,1,1,4,Ipsilateral,NULL
10,2,2,1,1,Contralteral,NULL
11,2,3,1,4,Ipsilateral,NULL
12,2,4,1,3,Transverse,NULL
13,2,1,2,1,Ipsilateral,NULL
14,2,2,2,4,Contralteral,NULL
15,2,3,2,1,Ipsilateral,NULL
16,2,4,2,3,Transverse,NULL
17,3,1,1,4,Ipsilateral,NULL
18,3,2,1,1,Contralteral,NULL
19,3,3,1,4,Ipsilateral,NULL
20,3,4,1,3,Transverse,NULL
21,3,1,2,1,Ipsilateral,NULL
22,3,2,2,4,Contralteral,NULL
23,3,3,2,1,Ipsilateral,NULL
24,3,4,2,3,Transverse,NULL
25,4,1,1,4,Ipsilateral,NULL
26,4,2,1,1,Contralteral,NULL
27,4,3,1,4,Ipsilateral,NULL
28,4,4,1,3,Transverse,NULL
29,4,1,2,1,Ipsilateral,NULL
30,4,2,2,4,Contralteral,NULL
31,4,3,2,1,Ipsilateral,NULL
32,4,4,2,3,Transverse,NULL
33,5,1,1,4,Ipsilateral,NULL
34,5,2,1,1,Contralteral,NULL
35,5,3,1,4,Ipsilateral,NULL
36,5,4,1,3,Transverse,NULL
37,5,1,2,1,Ipsilateral,NULL
38,5,2,2,4,Contralteral,NULL
39,5,3,2,1,Ipsilateral,NULL
40,5,4,2,3,Transverse,NULL
41,6,1,1,4,Ipsilateral,NULL
42,6,2,1,1,Contralteral,NULL
43,6,3,1,4,Ipsilateral,NULL
44,6,4,1,3,Transverse,NULL
45,6,1,2,1,Ipsilateral,NULL
46,6,2,2,4,Contralteral,NULL
47,6,3,2,1,Ipsilateral,NULL
48,6,4,2,3,Transverse,NULL
49,7,1,1,4,Ipsilateral,NULL
50,7,2,1,1,Contralteral,NULL
51,7,3,1,4,Ipsilateral,NULL
52,7,6,1,1,Contralteral,NULL
53,7,5,1,3,Transverse,NULL
54,7,4,1,4,Ipsilateral,NULL
55,7,1,2,1,Ipsilateral,NULL
56,7,2,2,4,Contralteral,NULL
57,7,3,2,1,Ipsilateral,NULL
58,7,6,2,4,Contralteral,NULL
59,7,5,2,3,Transverse,NULL
60,7,4,2,1,Ipsilateral,NULL
61,8,1,1,4,Ipsilateral,NULL
62,8,2,1,1,Contralteral,NULL
63,8,3,1,1,Contralteral,NULL
64,8,4,1,1,Contralteral,NULL
65,8,1,2,1,Ipsilateral,NULL
66,8,2,2,4,Contralteral,NULL
67,8,3,2,4,Contralteral,NULL
68,8,4,2,4,Contralteral,NULL
69,9,1,1,4,Ipsilateral,NULL
70,9,2,1,1,Contralteral,NULL
71,9,3,1,1,Contralteral,NULL
72,9,4,1,1,Contralteral,NULL
73,9,1,2,1,Ipsilateral,NULL
74,9,2,2,4,Contralteral,NULL
75,9,3,2,4,Contralteral,NULL
76,9,4,2,4,Contralteral,NULL
77,10,1,1,4,Ipsilateral,NULL
78,10,2,1,1,Contralteral,NULL
79,10,3,1,1,Contralteral,NULL
80,10,4,1,1,Contralteral,NULL
81,10,1,2,1,Ipsilateral,NULL
82,10,2,2,4,Contralteral,NULL
83,10,3,2,4,Contralteral,NULL
84,10,4,2,4,Contralteral,NULL
85,11,1,1,1,Contralteral,NULL
86,11,2,1,1,Contralteral,NULL
87,11,3,1,4,Ipsilateral,NULL
88,11,4,1,3,Transverse,NULL
89,11,1,2,4,Contralteral,NULL
90,11,2,2,4,Contralteral,NULL
91,11,3,2,1,Ipsilateral,NULL
92,11,4,2,3,Transverse,NULL
93,12,1,1,1,Contralteral,NULL
94,12,2,1,1,Contralteral,NULL
95,12,3,1,4,Ipsilateral,NULL
96,12,4,1,3,Transverse,NULL
97,12,1,2,4,Contralteral,NULL
98,12,2,2,4,Contralteral,NULL
99,12,3,2,1,Ipsilateral,NULL
100,12,4,2,3,Transverse,NULL
101,13,1,1,1,Contralteral,NULL
102,13,2,1,1,Contralteral,NULL
103,13,3,1,4,Ipsilateral,NULL
104,13,4,1,3,Transverse,NULL
105,13,1,2,4,Contralteral,NULL
106,13,2,2,4,Contralteral,NULL
107,13,3,2,1,Ipsilateral,NULL
108,13,4,2,3,Transverse,NULL
109,14,1,1,1,Contralteral,NULL
110,14,2,1,1,Contralteral,NULL
111,14,3,1,4,Ipsilateral,NULL
112,14,4,1,3,Transverse,NULL
113,14,1,2,4,Contralteral,NULL
114,14,2,2,4,Contralteral,NULL
115,14,3,2,1,Ipsilateral,NULL
116,14,4,2,3,Transverse,NULL
117,15,1,1,1,Contralteral,NULL
118,15,2,1,1,Contralteral,NULL
119,15,3,1,4,Ipsilateral,NULL
120,15,4,1,3,Transverse,NULL
121,15,1,2,4,Contralteral,NULL
122,15,2,2,4,Contralteral,NULL
123,15,3,2,1,Ipsilateral,NULL
124,15,4,2,3,Transverse,NULL
125,16,1,1,1,Contralteral,NULL
126,16,2,1,1,Contralteral,NULL
127,16,3,1,4,Ipsilateral,NULL
128,16,4,1,3,Transverse,NULL
129,16,1,2,4,Contralteral,NULL
130,16,2,2,4,Contralteral,NULL
131,16,3,2,1,Ipsilateral,NULL
132,16,4,2,3,Transverse,NULL
133,17,7,1,2,Back,NULL
134,17,8,1,2,Back,NULL
135,17,6,1,2,Back,NULL
136,17,7,2,2,Back,NULL
137,17,8,2,2,Back,NULL
138,17,6,2,2,Back,NULL
139,18,7,1,2,Back,NULL
140,18,8,1,2,Back,NULL
141,18,6,1,2,Back,NULL
142,18,7,2,2,Back,NULL
143,18,8,2,2,Back,NULL
144,18,6,2,2,Back,NULL
145,19,7,1,2,Back,NULL
146,19,8,1,2,Back,NULL
147,19,6,1,2,Back,NULL
148,19,7,2,2,Back,NULL
149,19,8,2,2,Back,NULL
150,19,6,2,2,Back,NULL
